word_uk,value,len,word_en
я,168773,1,I
не,143925,2,not
в,69533,1,in
що,65560,2,What
на,56164,2,on
це,53544,2,it
ти,51330,2,you
так,46601,3,Yes
у,45592,1,in
і,45530,1,and
з,35420,1,with
ми,23988,2,we
все,23157,3,all
тебе,23019,4,you
він,22530,3,he
як,22470,2,as
за,22255,2,by
ви,22224,2,you
до,19951,2,to
мене,19752,4,me
он,17964,2,there
мені,17545,4,me
ні,17516,2,No
але,17331,3,but
просто,14273,6,simply
тут,14160,3,here
для,14069,3,for
його,14047,4,its
о,13494,1,at
но,13136,2,but
то,12804,2,then
ну,12729,2,Well
про,12336,3,about
нас,12195,3,us
вас,11555,3,you
вони,11360,4,they
вона,10702,4,she
тобі,10481,4,you
ж,10340,1,emphasis
его,10134,3,ego
там,9865,3,there
якщо,9647,4,if
ще,9345,2,yet
та,9265,2,and
добре,9187,5,good
щоб,9173,3,that
є,9051,1,there are
вам,8997,3,you
по,8645,2,on
нам,8584,3,to us
хочу,8378,4,I want
коли,8342,4,When
же,7545,2,the same
вже,7346,3,already
було,7260,4,was
її,7025,2,its
був,7008,3,was
може,6708,4,maybe
чи,6573,2,or
дуже,6421,4,very
від,6329,3,from
чому,6197,4,Why
буде,6079,4,will be
хто,6071,3,who
тому,5847,4,ago
де,5808,2,where
треба,5701,5,need
от,5689,2,here
того,5388,4,that
їх,5348,2,their
щось,5320,4,something
гаразд,5268,6,OK
цього,5209,5,this
зараз,5044,5,now
нічого,4902,6,nothing
тільки,4799,6,only
те,4797,2,that
бути,4752,4,be
один,4615,4,one
уже,4600,3,already
й,4571,1,and
можу,4565,4,I can
тепер,4546,5,now
мій,4509,3,my
ось,4490,3,here
раз,4351,3,time
через,4188,5,through
всі,4093,3,all
бо,4059,2,for
правда,3998,6,truth
без,3964,3,without
себе,3897,4,himself
більше,3842,6,more
тоді,3816,4,then
час,3765,3,time
день,3726,4,day
можна,3684,5,can
була,3671,4,was
боже,3642,4,oh my god
будь,3538,4,be
йому,3531,4,him
лише,3476,4,only
ним,3403,3,him
привіт,3401,6,Greetings
них,3361,3,them
навіть,3349,6,even
ніколи,3343,6,never
буду,3318,4,I will
би,3312,2,would
зі,3228,2,from
ее,3216,2,ee
немає,3212,5,no
хочеш,3203,5,do you want
нього,3202,5,him
цей,3189,3,this
чого,3110,4,what
життя,3067,5,life
люди,3029,4,people
теж,3029,3,also
потому,2933,6,because
людей,2851,5,people
або,2803,3,or
який,2707,4,which
сюди,2698,4,here
із,2662,2,from
об,2649,2,about
тобою,2641,5,you
були,2640,4,were
два,2635,3,two
краще,2614,5,better
завжди,2574,6,always
багато,2559,6,many
сьогодні,2553,8,today
ей,2552,2,Hey
точно,2542,5,exactly
ласка,2507,5,affection
той,2474,3,that
надо,2460,4,necessary
сам,2441,3,himself
мною,2419,4,by me
мама,2335,4,mother
зробити,2316,7,make
сказати,2300,7,say
назад,2283,5,back
можеш,2265,5,you can
трохи,2250,5,a little
потрібно,2245,8,need
ага,2194,3,Aha
саме,2191,4,exactly
під,2151,3,under
три,2143,3,three
можете,2122,6,can you
собі,2121,4,itself
робити,2060,6,do
знову,2038,5,again
твій,2036,4,thy
наш,2009,3,our
потім,1960,5,then
ніж,1958,3,than
гей,1944,3,gay
перед,1939,5,before
завтра,1937,6,tomorrow
вами,1925,4,you
конечно,1891,7,of course
цьому,1861,5,this
ваш,1847,3,your
ніхто,1824,5,no one
нами,1808,4,by us
можливо,1797,7,perhaps
після,1791,5,after
неї,1783,3,her
скільки,1758,7,How many
чудово,1753,6,perfectly
такий,1717,5,such
кого,1716,4,whom
хтось,1711,5,someone
їй,1709,2,her
сер,1709,3,sir
усе,1700,3,all
разом,1698,5,together
їм,1695,2,them
куди,1693,4,where
звичайно,1692,8,Of course
справді,1677,7,really
поки,1672,4,until
гроші,1604,5,money
цим,1586,3,hereby
міг,1580,3,could
том,1577,3,volume
хіба,1573,4,unless
повинен,1547,7,should
друг,1546,4,friend
досить,1523,6,enough
можемо,1521,6,we can
над,1498,3,over
хоче,1477,4,wants
якби,1472,4,if
могли,1466,5,could
місце,1461,5,place
воно,1433,4,it
додому,1421,6,home
весь,1408,4,all
ясно,1387,4,clear
доктор,1369,6,doctor
нема,1350,4,no
навіщо,1339,6,why
господи,1334,7,gentlemen
мабуть,1324,6,apparently
чоловік,1311,7,man
звідси,1301,6,from here
мати,1296,4,have
скоро,1292,5,soon
нормально,1265,9,normally
пані,1258,4,Mrs.
всіх,1256,4,all
також,1253,5,also
брат,1249,4,brother
кілька,1249,6,sprat
чорт,1221,4,devil
во,1218,2,in
батько,1209,6,father
отже,1208,4,therefore
могла,1199,5,could
тим,1199,3,that
швидше,1198,6,rather
жаль,1193,4,pity
туди,1189,4,there
знати,1186,5,know
хочете,1179,6,do you want
допомогти,1144,9,help
людина,1138,6,man
давно,1135,5,long
правильно,1135,9,right
зовсім,1132,6,completely
при,1132,3,at
знайти,1105,6,find
йти,1105,3,to go
дещо,1099,4,something
нею,1093,3,by her
далі,1091,4,further
усі,1091,3,all
ними,1086,4,by them
дійсно,1074,6,really
вперед,1063,6,forward
звісно,1063,6,Of course
звідки,1040,6,where
шкода,1037,5,damage
справа,1036,6,case
чим,1033,3,than
проти,1029,5,against
піти,1024,4,leave
дома,1019,4,at home
номер,1019,5,number
тож,1011,3,so
знать,1006,5,nobility
сім,1003,3,seven
нехай,1002,5,let
син,994,3,son
найти,987,5,find
свій,985,4,your
тобто,982,5,"that is,"
взагалі,978,7,in general
ять,972,3,yat
будеш,970,5,will you be
ме,959,2,me
наші,948,4,our
поговорити,945,10,speak
ой,935,2,Oh
хоч,930,3,though
проблема,922,8,problem
ох,913,2,Oh
будемо,912,6,we will
двері,912,5,door
хлопець,909,7,boy
будем,908,5,we will
світ,903,4,world
майже,901,5,almost
можуть,897,6,can
пора,894,4,time
насправді,890,9,actually
бачити,883,6,see
швидко,880,6,quickly
тато,879,4,dad
бог,868,3,God
схоже,862,5,similar
чувак,853,5,dude
сильно,848,6,strongly
слово,848,5,word
раніше,847,6,earlier
будуть,839,6,will be
потрібен,838,8,needed
алло,836,4,Hello
між,835,3,between
питання,835,7,question
жінка,827,5,woman
смерть,818,6,death
дітей,813,5,children
добрий,811,6,good
шанс,810,4,chance
десь,808,4,somewhere
колись,805,6,once
мало,803,4,small
ніби,794,4,as if
говорити,788,8,speak
друга,784,5,friend
геть,778,4,away
всього,774,6,total
варто,772,5,worth
досі,768,4,still
аби,765,3,so that
занадто,760,7,too
хай,760,3,let
дві,759,3,two
план,755,4,plan
великий,739,7,great
побачити,738,8,see
щодо,735,4,of
папа,731,4,pope
біля,723,4,near
жити,720,4,live
хороший,716,7,good
ким,712,3,by whom
